ADDRESS,INTERSECTION,RECORDUDATE,RECORD_TIME,VEHICLE_TYPE,LICENSE,STATE,COUNTY,TRACT,BLOCK_GROUP
5700 S CORNELL DRIVE,CORNELL DRIVE AND 57TH,8/15/2014,04:05:49,truck,YBM-094,17,031,411000,2
6300 S HALSTED STREET,HALSTED AND 63RD,8/22/2014,23:38:19,suv,RTO-927,17,031,681000,4
6300 S HALSTED STREET,HALSTED AND 63RD,9/25/2014,22:42:31,suv,URU-914,17,031,681000,4
7100 S WESTERN AVENUE,WESTERN AND 71ST,8/28/2014,22:55:25,police,ENI-197,17,031,661000,4
4000 W PETERSON AVENUE,PULASKI AND PETERSON,8/20/2014,09:25:31,ambulance,IMO-456,17,031,130200,1
800 W 79TH STREET,79TH AND HALSTED,9/14/2014,03:43:03,ambulance,THJ-776,17,031,710800,1
5700 S CORNELL DRIVE,CORNELL DRIVE AND 57TH,8/17/2014,14:16:58,sedan,BAR-867,17,031,411000,2
1200 N PULASKI ROAD,PULASKI AND DIVISION,7/3/2014,17:33:46,truck,ECB-250,17,031,230600,2
800 W 99TH ST,99TH AND HALSTED,9/26/2014,12:49:36,ambulance,CPC-792,17,031,730400,3
3600 N WESTERN AVENUE,WESTERN AND ADDISON,9/8/2014,21:03:16,suv,FED-248,17,031,843700,1
6300 S KEDZIE AVE,KEDZIE AND 63RD,7/1/2014,11:17:43,ambulance,RTC-209,17,031,660500,1
2000 N KEDZIE AVENUE,KEDZIE AND ARMITAGE,7/1/2014,09:12:26,truck,SAO-373,17,031,221100,2
7432 W TOUHY AVENUE,TOUHY AND OSCEOLA,8/1/2014,04:16:16,ambulance,FDE-125,17,031,090100,2
1600 N HALSTED STREET,HALSTED AND NORTH,8/7/2014,12:13:18,suv,EKF-403,17,031,832600,1
9500 S ASHLAND AVENUE,ASHLAND AND 95TH,8/3/2014,16:32:37,police,FTL-723,17,031,730400,2
800 W DIVISION,HALSTED AND DIVISION,9/16/2014,23:47:27,sedan,PTA-823,17,031,842200,1
400 N LASALLE,LASALLE AND KINZIE,9/20/2014,05:40:55,police,LMO-352,17,031,081700,2
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,8/14/2014,04:55:49,truck,DAS-933,,,,
2800 W 31ST,31ST AND CALIFORNIA,8/6/2014,09:28:57,emergency,PLP-975,,,,
2800 N CENTRAL AVENUE,CENTRAL AND DIVERSEY,10/9/2014,00:56:44,truck,DBB-809,17,031,190402,2
0 N ASHLAND AVE,ASHLAND AND MADISON,7/28/2014,07:36:17,ambulance,AYB-498,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/28/2014,03:50:03,ambulance,REM-626,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/20/2014,18:08:38,truck,OSY-797,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/31/2014,19:27:38,sedan,KYI-332,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/7/2014,17:05:49,police,FZA-233,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/13/2014,12:55:37,suv,BMR-458,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/29/2014,10:42:49,suv,YLH-320,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,8/4/2014,06:51:25,emergency,SKB-895,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,8/5/2014,17:00:15,police,IGO-910,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/22/2014,02:57:52,suv,BOO-376,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/21/2014,19:05:15,emergency,NSA-131,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,8/19/2014,14:17:15,suv,FGN-353,,,,
2400 W 55TH STREET,55TH AND WESTERN,9/4/2014,13:38:16,truck,PNS-022,17,031,630500,2
2416 S BLUE ISLAND AV,BLUE ISLAND AND DAMEN,9/11/2014,01:05:04,sedan,LOM-840,17,031,843200,1
4800 W 47TH ST,CICERO AND 47TH,9/29/2014,00:40:11,sedan,UBH-557,17,031,560100,1
8700 S VINCENNES,87TH AND VINCENNES,8/7/2014,01:51:45,emergency,BUV-805,17,031,711400,2
4800 W 47TH ST,CICERO AND 47TH,8/8/2014,08:37:19,sedan,MTP-862,17,031,560100,1
5600 W BELMONT AVENUE,CENTRAL AND BELMONT,7/13/2014,02:48:17,truck,TRC-205,17,031,151200,2
3400 W NORTH AVE,HOMAN/KIMBALL AND NORTH,7/20/2014,00:40:17,ambulance,GYI-363,17,031,230200,1
4000 W CHICAGO AVENUE,PULASKI AND CHICAGO,10/9/2014,12:28:42,police,UMO-608,17,031,842100,5
1200 W DEVON AVE,BROADWAY/SHERIDAN AND DEVON,8/6/2014,03:22:28,suv,CJJ-782,17,031,010503,1
1000 W FOSTER AVE,SHERIDAN AND FOSTER,9/29/2014,17:32:26,sedan,NJO-147,17,031,030706,1
1000 W HOLLYWOOD AVE,HOLLYWOOD AND SHERIDAN,10/2/2014,01:58:49,ambulance,URB-988,17,031,030604,3
4800 W CHICAGO AVENUE,CICERO AND CHICAGO,9/19/2014,11:07:59,truck,CCA-078,17,031,251000,1
5700 S CORNELL DRIVE,CORNELL DRIVE AND 57TH,7/8/2014,12:38:32,sedan,MRL-192,17,031,411000,2
6300 S ASHLAND AVE,ASHLAND AND 63RD,10/2/2014,06:31:01,ambulance,GZA-066,17,031,671200,1
4000 W ROOSEVELT ROAD,ROOSEVELT AND PULASKI,7/26/2014,23:02:32,ambulance,DVZ-181,17,031,843000,2
5600 W BELMONT AVENUE,CENTRAL AND BELMONT,10/1/2014,20:14:40,police,LIH-060,17,031,151200,2
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/17/2014,18:35:54,truck,EZG-055,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/12/2014,09:34:11,suv,FID-788,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/15/2014,12:34:50,suv,HCG-591,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,8/2/2014,19:36:53,suv,EYK-389,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/2/2014,07:42:34,ambulance,EDD-530,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/27/2014,06:55:16,sedan,NLM-446,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/18/2014,09:50:49,truck,FIC-813,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/26/2014,05:40:08,emergency,KHY-090,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/21/2014,11:46:36,emergency,EUT-061,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/20/2014,09:15:35,ambulance,ZVU-526,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/26/2014,21:56:41,ambulance,UJA-325,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/28/2014,22:14:34,emergency,FEB-901,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/16/2014,12:15:15,ambulance,KEF-568,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/20/2014,17:36:26,emergency,GFP-359,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/2/2014,09:43:12,suv,ANR-301,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,8/6/2014,00:35:12,suv,OCS-536,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,8/6/2014,23:07:17,ambulance,BBE-891,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/3/2014,16:27:55,police,KUF-478,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/16/2014,01:39:45,sedan,UNJ-648,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/28/2014,07:24:37,truck,ZMA-936,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/12/2014,10:30:04,emergency,NEC-459,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/31/2014,18:29:27,police,DBK-034,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/29/2014,22:18:50,emergency,CCY-885,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/10/2014,03:03:48,emergency,PKK-311,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/19/2014,21:17:19,truck,JVD-215,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/10/2014,15:38:51,ambulance,NMY-893,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/27/2014,23:04:36,sedan,FPU-795,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/22/2014,20:06:13,sedan,RYH-029,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/7/2014,18:31:19,suv,JCD-638,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/30/2014,21:37:12,ambulance,MRF-672,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/31/2014,19:23:08,sedan,FIO-556,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/19/2014,17:26:42,emergency,NFI-621,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/1/2014,06:01:07,ambulance,TRJ-928,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/25/2014,22:36:20,emergency,NSO-100,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/22/2014,10:21:28,truck,MGU-291,,,,
